                simTime,               simFrame,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,
+1.2833334002643824e+00,                     78,                      1,                      4,                      1,                    0x2,+7.6572216796875000e+02,+1.8716685771942139e+00,-3.3314707688987255e-03,-7.7014844864606857e-03,-3.8775929715484381e-03,+6.9079321110621095e-04,                      3,+1.8503884077072144e+00,
+1.3000000678002834e+00,                     79,                      1,                      4,                      1,                    0x2,+7.6567291259765625e+02,+1.8712294101715088e+00,-3.7706492003053427e-03,-8.3027761429548264e-03,-3.8772826083004475e-03,+7.1823119651526213e-04,                      3,+1.8996883630752563e+00,
+1.3166667353361845e+00,                     80,                      1,                      4,                      1,                    0x2,+7.6562292480468750e+02,+1.8707529306411743e+00,-4.2470600455999374e-03,-8.9183729141950607e-03,-3.8769610691815615e-03,+7.4482813943177462e-04,                      3,+1.9496357440948486e+00,
+1.3333334028720856e+00,                     81,                      1,                      4,                      1,                    0x2,+7.6557232666015625e+02,+1.8702378273010254e+00,-4.7621270641684532e-03,-9.5470827072858810e-03,-3.8766278885304928e-03,+7.7051389962434769e-04,                      3,+2.0002307891845703e+00,
+1.3500000704079866e+00,                     82,                      1,                      4,                      1,                    0x2,+7.6552111816406250e+02,+1.8696827888488770e+00,-5.3172381594777107e-03,-1.0187951847910881e-02,-3.8762821350246668e-03,+7.9521967563778162e-04,                      3,+2.0514729022979736e+00,
+1.3666667379438877e+00,                     83,                      1,                      4,                      1,                    0x2,+7.6546923828125000e+02,+1.8690862655639648e+00,-5.9137451462447643e-03,-1.0839549824595451e-02,-3.8759245071560144e-03,+8.1889436114579439e-04,                      3,+2.1033625602722168e+00,
+1.3833334054797888e+00,                     84,                      1,                      4,                      1,                    0x2,+7.6541668701171875e+02,+1.8684470653533936e+00,-6.5529583953320980e-03,-1.1500922963023186e-02,-3.8755540736019611e-03,+8.4147427696734667e-04,                      3,+2.1558990478515625e+00,
+1.4000000730156898e+00,                     85,                      1,                      4,                      1,                    0x2,+7.6536346435546875e+02,+1.8677638769149780e+00,-7.2361477650702000e-03,-1.2171117588877678e-02,-3.8751708343625069e-03,+8.6293113417923450e-04,                      3,+2.2090828418731689e+00,
+1.4166667405515909e+00,                     86,                      1,                      4,                      1,                    0x2,+7.6530963134765625e+02,+1.8670355081558228e+00,-7.9645365476608276e-03,-1.2848703190684319e-02,-3.8747743237763643e-03,+8.8320876238867640e-04,                      3,+2.2629134654998779e+00,
+1.4333334080874920e+00,                     87,                      1,                      4,                      1,                    0x2,+7.6525518798828125e+02,+1.8662606477737427e+00,-8.7393010035157204e-03,-1.3532726094126701e-02,-3.8743640761822462e-03,+9.0225320309400558e-04,                      3,+2.3173909187316895e+00,
+1.4500000756233931e+00,                     88,                      1,                      4,                      1,                    0x2,+7.6520007324218750e+02,+1.8654384613037109e+00,-9.5615675672888756e-03,-1.4222232624888420e-02,-3.8739403244107962e-03,+9.2004990437999368e-04,                      3,+2.3725149631500244e+00,
+1.4666667431592941e+00,                     89,                      1,                      4,                      1,                    0x2,+7.6514428710937500e+02,+1.8645676374435425e+00,-1.0432412847876549e-02,-1.4915792271494865e-02,-3.8735019043087959e-03,+9.3655387172475457e-04,                      3,+2.4282858371734619e+00,
+1.4833334106951952e+00,                     90,                      1,                      4,                      1,                    0x2,+7.6508789062500000e+02,+1.8636471033096313e+00,-1.1352856643497944e-02,-1.5612689778208733e-02,-3.8730492815375328e-03,+9.5172412693500519e-04,                      3,+2.4847030639648438e+00,
