                simTime,               simFrame,               objectId,               category,                   type,                vismask,                   name,                   dimX,                   dimY,                   dimZ,                   offX,                   offY,                   offZ,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,               distance,
+1.3000000678002834e+00,                     79,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6154017960835000e+02,-1.9086449059958298e+02,-4.9570932113900956e-03,+2.9065763950347900e+00,-3.8772826083004475e-03,+7.1823119651526213e-04,                    0x3,                      0,                      0,-2.8961155414581299e+00,+6.9160717725753784e-01,+1.1544773355126381e-02,+3.6083094775676727e-02,+1.8621503841131926e-05,+1.6462800558656454e-03,                    0x3,                      0,                      0,-2.2931072711944580e+00,+4.3858748674392700e-01,+9.0425759553909302e-03,+5.5163424462080002e-02,+4.1381168557563797e-05,-2.8676304500550032e-03,                    0x1,                      0,                      0,+1.9030474424362183e+00,
+1.3166667353361845e+00,                     80,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6149158861909632e+02,-1.9085291937375294e+02,-4.9566822319856438e-03,+2.9071919918060303e+00,-3.8769610691815615e-03,+7.4482813943177462e-04,                    0x3,                      0,                      0,-2.9343616962432861e+00,+6.9878727197647095e-01,+1.1694506742060184e-02,+3.6937125027179718e-02,+1.9287406757939607e-05,+1.5958173898980021e-03,                    0x3,                      0,                      0,-2.2941129207611084e+00,+4.3326100707054138e-01,+9.0410765260457993e-03,+5.1241811364889145e-02,+3.9954171370482072e-05,-3.0277597252279520e-03,                    0x1,                      0,                      0,+1.9529972076416016e+00,
+1.3333334028720856e+00,                     81,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6144235995675422e+02,-1.9084122968272840e+02,-4.9562560498899802e-03,+2.9078207015991211e+00,-3.8766278885304928e-03,+7.7051389962434769e-04,                    0x3,                      0,                      0,-2.9726233482360840e+00,+7.0588284730911255e-01,+1.1844166554510593e-02,+3.7724856287240982e-02,+2.0000874428660609e-05,+1.5411440981552005e-03,                    0x3,                      0,                      0,-2.2950799465179443e+00,+4.2803427577018738e-01,+9.0395221486687660e-03,+4.7263871878385544e-02,+4.2808056605281308e-05,-3.2803972717374563e-03,                    0x1,                      0,                      0,+2.0035946369171143e+00,
+1.3500000704079866e+00,                     82,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6139249337610187e+02,-1.9082942289622966e+02,-4.9558141583466884e-03,+2.9084615707397461e+00,-3.8762821350246668e-03,+7.9521967563778162e-04,                    0x3,                      0,                      0,-3.0108995437622070e+00,+7.1289610862731934e-01,+1.1993749067187309e-02,+3.8445457816123962e-02,+2.0738123566843569e-05,+1.4823467936366796e-03,                    0x3,                      0,                      0,-2.2960052490234375e+00,+4.2291983962059021e-01,+9.0379100292921066e-03,+4.3236088007688522e-02,+4.4234944652998820e-05,-3.5278380382806063e-03,                    0x1,                      0,                      0,+2.0548398494720459e+00,
+1.3666667379438877e+00,                     83,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6134198864225351e+02,-1.9081750034849225e+02,-4.9553570641120660e-03,+2.9091131687164307e+00,-3.8759245071560144e-03,+8.1889436114579439e-04,                    0x3,                      0,                      0,-3.0491900444030762e+00,+7.1982902288436890e-01,+1.2143254280090332e-02,+3.9098996669054031e-02,+2.1451591237564571e-05,+1.4204804319888353e-03,                    0x3,                      0,                      0,-2.2968869209289551e+00,+4.1792783141136169e-01,+9.0362429618835449e-03,+3.9212327450513840e-02,+4.2808056605281308e-05,-3.7119814660400152e-03,                    0x1,                      0,                      0,+2.1067328453063965e+00,
+1.3833334054797888e+00,                     84,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6129084553533829e+02,-1.9080546333537436e+02,-4.9548832469169706e-03,+2.9097745418548584e+00,-3.8755540736019611e-03,+8.4147427696734667e-04,                    0x3,                      0,                      0,-3.0874936580657959e+00,+7.2668403387069702e-01,+1.2292675673961639e-02,+3.9684936404228210e-02,+2.2236405129660852e-05,+1.3547947164624929e-03,                    0x3,                      0,                      0,-2.2977218627929688e+00,+4.1306999325752258e-01,+9.0345153585076332e-03,+3.5156384110450745e-02,+4.7088829887798056e-05,-3.9411429315805435e-03,                    0x1,                      0,                      0,+2.1592733860015869e+00,
+1.4000000730156898e+00,                     85,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6123906384668106e+02,-1.9079331311300274e+02,-4.9543932135176910e-03,+2.9104447364807129e+00,-3.8751708343625069e-03,+8.6293113417923450e-04,                    0x3,                      0,                      0,-3.1258096694946289e+00,+7.3346352577209473e-01,+1.2442013248801231e-02,+4.0204428136348724e-02,+2.2997437554295175e-05,+1.2874146923422813e-03,                    0x3,                      0,                      0,-2.2985091209411621e+00,+4.0835309028625488e-01,+9.0327281504869461e-03,+3.1169502064585686e-02,+4.5661941840080544e-05,-4.0428014472126961e-03,                    0x1,                      0,                      0,+2.2124614715576172e+00,
+1.4166667405515909e+00,                     86,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6118664338347435e+02,-1.9078105089450975e+02,-4.9538864571577945e-03,+2.9111223220825195e+00,-3.8747743237763643e-03,+8.8320876238867640e-04,                    0x3,                      0,                      0,-3.1641371250152588e+00,+7.4016994237899780e-01,+1.2591262347996235e-02,+4.0657252073287964e-02,+2.3782251446391456e-05,+1.2166546657681465e-03,                    0x3,                      0,                      0,-2.2992460727691650e+00,+4.0378791093826294e-01,+9.0308804064989090e-03,+2.7169434353709221e-02,+4.7088829887798056e-05,-4.2456015944480896e-03,                    0x1,                      0,                      0,+2.2662971019744873e+00,
+1.4333334080874920e+00,                     87,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6113358396936371e+02,-1.9076867784724880e+02,-4.9533619643244821e-03,+2.9118063449859619e+00,-3.8743640761822462e-03,+9.0225320309400558e-04,                    0x3,                      0,                      0,-3.2024753093719482e+00,+7.4680632352828979e-01,+1.2740420177578926e-02,+4.1043333709239960e-02,+2.4614630092401057e-05,+1.1426671408116817e-03,                    0x3,                      0,                      0,-2.2999303340911865e+00,+3.9938485622406006e-01,+9.0289684012532234e-03,+2.3164896294474602e-02,+4.9942715122597292e-05,-4.4392514973878860e-03,                    0x1,                      0,                      0,+2.3207800388336182e+00,
+1.4500000756233931e+00,                     88,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6107988543651061e+02,-1.9075619509122001e+02,-4.9528202417740306e-03,+2.9124958515167236e+00,-3.8739403244107962e-03,+9.2004990437999368e-04,                    0x3,                      0,                      0,-3.2408232688903809e+00,+7.5337535142898560e-01,+1.2889484874904156e-02,+4.1364356875419617e-02,+2.5423227270948701e-05,+1.0678010294213891e-03,                    0x3,                      0,                      0,-2.3005614280700684e+00,+3.9514866471290588e-01,+9.0269930660724640e-03,+1.9261388108134270e-02,+4.8515827074879780e-05,-4.4919662177562714e-03,                    0x1,                      0,                      0,+2.3759102821350098e+00,
